playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2550256","null","Willie Snead","WR","NO","WR","NO","null","8.0793","null","null","null","31","null","null","0.0317","null","null","null","9.1159","6.07","4.2647","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","8.0598","null","null","null","32","null","null","0.0344","null","null","null","8.2947","6.4","6.3496","null",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","null","8.0354","null","null","null","33","null","null","0.0337","null","null","null","9.3069","5.9","4.2647","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","8.0323","null","null","null","4","null","null","0.4629","null","null","null","9.5234","6.46","3.3965","null",
"2539637","null","Caleb Sturgis","K","PHI","K","PHI","null","8.0207","null","null","null","14","null","null","0.2499","null","null","null","8.7755","6.9114","3.7377","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","8.0155","null","null","null","34","null","null","0.0327","null","null","null","9.4091","3.7","7.354","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","7.9879","null","null","null","35","null","null","0.0992","null","null","null","8.8361","5.2","5.9654","null",
"2543847","null","John Brown","WR","ARI","WR","ARI","null","7.9775","null","null","null","36","null","null","0.1834","null","null","null","8.5534","4.3","4.1261","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","null","7.9326","null","null","null","31","null","null","0.2023","null","null","null","8.3973","5.7","4.7542","null",
"2540143","null","Alec Ogletree","LB","LA","LB","LA","null","7.9279","null","null","null","8","null","null","0.1316","null","null","null","8.4774","6.8","null","null",
"2532966","null","Bobby Wagner","LB","SEA","LB","SEA","null","7.8701","null","null","null","9","null","null","0.1501","null","null","null","7.9773","7.65","null","null",
"2550636","null","Cairo Santos","K","KC","K","KC","null","7.8265","null","null","null","15","null","null","0.1929","null","null","null","8.6657","6.14","5.1465","null",
